"Industry","Date","Value"
"Agriculture, forestry",2011-01-01,3
"Agriculture, forestry",2011-02-01,10
"Agriculture, forestry",2011-03-01,13
"Agriculture, forestry",2011-04-01,5
"Agriculture, forestry",2011-05-01,4
"Agriculture, forestry",2011-06-01,5
"Agriculture, forestry",2011-07-01,9
"Agriculture, forestry",2011-08-01,11
"Agriculture, forestry",2011-09-01,11
"Agriculture, forestry",2011-10-01,7
"Agriculture, forestry",2011-11-01,10
"Agriculture, forestry",2011-12-01,3
"Agriculture, forestry",2012-01-01,7
"Agriculture, forestry",2012-02-01,11
"Agriculture, forestry",2012-03-01,6
"Agriculture, forestry",2012-04-01,8
"Agriculture, forestry",2012-05-01,10
"Agriculture, forestry",2012-06-01,10
"Agriculture, forestry",2012-07-01,4
"Agriculture, forestry",2012-08-01,8
"Agriculture, forestry",2012-09-01,5
"Agriculture, forestry",2012-10-01,6
"Agriculture, forestry",2012-11-01,6
"Agriculture, forestry",2012-12-01,5
"Agriculture, forestry",2013-01-01,6
"Agriculture, forestry",2013-02-01,7
"Agriculture, forestry",2013-03-01,9
"Agriculture, forestry",2013-04-01,4
"Agriculture, forestry",2013-05-01,7
"Agriculture, forestry",2013-06-01,6
"Agriculture, forestry",2013-07-01,6
"Agriculture, forestry",2013-08-01,12
"Agriculture, forestry",2013-09-01,10
"Agriculture, forestry",2013-10-01,7
"Agriculture, forestry",2013-11-01,8
"Agriculture, forestry",2013-12-01,11
"Agriculture, forestry",2014-01-01,8
"Agriculture, forestry",2014-02-01,4
"Agriculture, forestry",2014-03-01,8
"Agriculture, forestry",2014-04-01,3
"Agriculture, forestry",2014-05-01,6
"Agriculture, forestry",2014-06-01,6
"Agriculture, forestry",2014-07-01,6
"Agriculture, forestry",2014-08-01,2
"Agriculture, forestry",2014-09-01,4
"Agriculture, forestry",2014-10-01,6
"Agriculture, forestry",2014-11-01,5
"Agriculture, forestry",2014-12-01,2
"Agriculture, forestry",2015-01-01,7
"Agriculture, forestry",2015-02-01,1
"Agriculture, forestry",2015-03-01,2
"Agriculture, forestry",2015-04-01,6
"Agriculture, forestry",2015-05-01,2
"Agriculture, forestry",2015-06-01,1
"Agriculture, forestry",2015-07-01,5
"Agriculture, forestry",2015-08-01,1
"Agriculture, forestry",2015-09-01,5
"Agriculture, forestry",2015-10-01,4
"Agriculture, forestry",2015-11-01,5
"Agriculture, forestry",2015-12-01,4
"Agriculture, forestry",2016-01-01,3
"Agriculture, forestry",2016-02-01,11
"Agriculture, forestry",2016-03-01,8
"Agriculture, forestry",2016-04-01,6
"Agriculture, forestry",2016-05-01,0
"Agriculture, forestry",2016-06-01,3
"Agriculture, forestry",2016-07-01,3
"Agriculture, forestry",2016-08-01,1
"Agriculture, forestry",2016-09-01,3
"Agriculture, forestry",2016-10-01,8
"Agriculture, forestry",2016-11-01,7
"Agriculture, forestry",2016-12-01,9
"Agriculture, forestry",2017-01-01,4
"Agriculture, forestry",2017-02-01,2
"Agriculture, forestry",2017-03-01,6
"Agriculture, forestry",2017-04-01,7
"Agriculture, forestry",2017-05-01,7
"Agriculture, forestry",2017-06-01,2
